,cd,nm
0,095570.KS,AJ네트웍스보통주
1,006840.KS,AK홀딩스보통주
2,282330.KS,BGF리테일보통주
3,027410.KS,BGF보통주
4,138930.KS,BNK금융지주보통주
5,001465.KS,BYC1우선주
6,001460.KS,BYC보통주
7,001045.KS,CJ1우선주
8,00104K.KS,CJ4우선주(전환)
9,001040.KS,CJ보통주
10,011155.KS,CJ씨푸드1우선주
11,011150.KS,CJ씨푸드보통주
12,000590.KS,CS홀딩스보통주
13,012030.KS,DB Inc.보통주
14,016610.KS,DB금융투자보통주
15,005830.KS,DB손해보험보통주
16,000995.KS,DB하이텍1우선주
17,000990.KS,DB하이텍보통주
18,139130.KS,DGB금융지주보통주
19,001530.KS,DI동일보통주
20,000215.KS,DL1우선주
21,000210.KS,DL보통주
22,37550K.KS,DL이앤씨1우선주
23,375500.KS,DL이앤씨보통주
24,155660.KS,DSR보통주
25,069730.KS,DSR제강보통주
26,017940.KS,E1보통주
27,365550.KS,ESR켄달스퀘어리츠보통주
28,007700.KS,F&F보통주
29,078935.KS,GS1우선주
30,006360.KS,GS건설보통주
31,078930.KS,GS보통주
32,012630.KS,HDC보통주
33,294870.KS,HDC현대산업개발보통주
34,003560.KS,IHQ보통주
35,175330.KS,JB금융지주보통주
36,234080.KS,JW생명과학보통주
37,001065.KS,JW중외제약1우선주
38,001067.KS,JW중외제약2우선주(신형)
39,001060.KS,JW중외제약보통주
40,096760.KS,JW홀딩스 보통주
41,105560.KS,KB금융지주 보통주
42,009070.KS,KCTC 보통주
43,016385.KS,KG동부제철1우선주
44,016380.KS,KG동부제철보통주
45,001390.KS,KG케미칼보통주
46,001940.KS,KISCO홀딩스보통주
47,025000.KS,KPX케미칼보통주
48,092230.KS,KPX홀딩스보통주
49,000040.KS,KR모터스보통주
50,093050.KS,LF보통주
51,003555.KS,LG1우선주
52,034220.KS,LG디스플레이보통주
53,003550.KS,LG보통주
54,001120.KS,LG상사보통주
55,051905.KS,LG생활건강1우선주
56,051900.KS,LG생활건강보통주
57,032640.KS,LG유플러스보통주
58,011070.KS,LG이노텍보통주
59,066575.KS,LG전자1우선주
60,066570.KS,LG전자보통주
61,051915.KS,LG화학1우선주
62,051910.KS,LG화학보통주
63,079550.KS,LIG넥스원보통주
64,010120.KS,LS ELECTRIC보통주
65,000680.KS,LS네트웍스보통주
66,006260.KS,LS보통주
67,023150.KS,MH에탄올보통주
68,035420.KS,NAVER보통주
69,181710.KS,NHN보통주
70,338100.KS,NH프라임리츠보통주
71,034310.KS,NICE보통주
72,008260.KS,NI스틸보통주
73,004255.KS,NPC1우선주
74,004250.KS,NPC보통주
75,010060.KS,OCI보통주
76,100840.KS,S&TC 보통주
77,064960.KS,S&T모티브보통주
78,003570.KS,S&T중공업보통주
79,036530.KS,S&T홀딩스보통주
80,010955.KS,S-Oil1우선주
81,010950.KS,S-Oil보통주
82,101060.KS,SBS미디어홀딩스보통주
83,005090.KS,SGC에너지보통주
84,002360.KS,SH에너지화학보통주
85,009160.KS,SIMPAC보통주
86,123700.KS,SJM보통주
87,025530.KS,SJM홀딩스보통주
88,03473K.KS,SK1우선주
89,011790.KS,SKC보통주
90,018670.KS,SK가스보통주
91,001745.KS,SK네트웍스1우선주
92,001740.KS,SK네트웍스보통주
93,210980.KS,SK디앤디보통주
94,034730.KS,SK보통주
95,096775.KS,SK이노베이션 1우선주
96,096770.KS,SK이노베이션 보통주
97,001515.KS,SK증권1우선주
98,001510.KS,SK증권보통주
99,28513K.KS,SK케미칼1우선주
100,285130.KS,SK케미칼보통주
101,017670.KS,SK텔레콤보통주
102,005610.KS,SPC삼립보통주
103,011810.KS,STX보통주
104,077970.KS,STX엔진보통주
105,071970.KS,STX중공업보통주
106,084870.KS,TBH글로벌보통주
107,002710.KS,TCC스틸보통주
108,024070.KS,WISCOM보통주
109,000500.KS,가온전선보통주
110,000860.KS,강남제비스코보통주
111,035250.KS,강원랜드보통주
112,011420.KS,갤럭시아에스엠보통주
113,002100.KS,경농보통주
114,009450.KS,경동나비엔보통주
115,267290.KS,경동도시가스보통주
