회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
인카금융서비스,211050,보험 및 연금관련 서비스업,보험 판매,2/16/2022,12월,최병채,http://www.incar.co.kr,서울특별시
나래나노텍,137080,특수 목적용 기계 제조업,"디스플레이 장비 (포토, 코팅, 모듈 장비)",2/8/2022,12월,정좌진,http://www.naraenano.co.kr,경기도
아셈스,136410,플라스틱제품 제조업,핫멜트 접착 필름,2/7/2022,12월,장지상,http://assems.com,부산광역시
스코넥,276040,소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등",2/4/2022,12월,황대실,http://www.skonec.com/,서울특별시
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2/4/2022,12월,강찬호,,경기도
LG에너지솔루션,373220,일차전지 및 축전지 제조업,"2차전지 (소형,ESS,자동차전지)",1/27/2022,12월,권영수,,서울특별시
애드바이오텍,179530,의약품 제조업,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역",1/24/2022,12월,정홍걸,,강원도
케이옥션,102370,상품 중개업,미술품 경매 및 판매,1/24/2022,12월,도현순,http://www.k-auction.com/,서울특별시
코스텍시스템,169670,특수 목적용 기계 제조업,"반도체 웨이퍼 이송장비, 본딩장비",1/21/2022,12월,배준호,http://www.kosteks.com/,경기도
디비금융스팩10호,404950,기타 금융업,인수목적,1/20/2022,12월,곽대환,,서울특별시
오토앤,353590,자동차 부품 및 내장품 판매업,자동차 지급품 및 애프터마켓 제품,1/20/2022,12월,최찬욱,http://www.auton.kr,경기도
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 제작,12/30/2021,12월,"김동래, 박지복",http://reamongraein.co.kr,서울특별시
하나금융20호스팩,400560,금융 지원 서비스업,금융지원 서비스업,12/27/2021,12월,박태한,,서울특별시
엔에이치스팩22호,396770,금융 지원 서비스업,금융 지원 서비스,12/24/2021,12월,김성준,,서울특별시
교보11호스팩,397880,금융 지원 서비스업,기업인수 및 합병,12/20/2021,12월,이규연,,서울특별시
하이제7호스팩,400840,금융 지원 서비스업,기업인수합병,12/20/2021,12월,김동찬,,서울특별시
케이티비네트워크,298870,기타 금융업,"창업투자금융, 벤처기업투자 등",12/16/2021,12월,"신진호, 김창규",http://www.ktbnetwork.com,경기도
예스피치,403360,소프트웨어 개발 및 공급업,"AI 가상비서 서비스, 화자인증 서비스",12/14/2021,12월,김재중,http://www.yespeech.com,서울특별시
